locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAMBLCDF_04209	CDS	1617	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
MAMBLCDF_04210	CDS	696				hypothetical protein
MAMBLCDF_04211	CDS	918				hypothetical protein
MAMBLCDF_04212	CDS	711	fabG_9	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MAMBLCDF_04213	CDS	987	gpuA_2	3.5.3.17	COG0010	Guanidinopropionase
MAMBLCDF_04214	CDS	807	budC	1.1.1.304		Diacetyl reductase [(S)-acetoin forming]
MAMBLCDF_04215	CDS	1740	gsiA_6	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
MAMBLCDF_04216	CDS	849	oppC		COG1173	Oligopeptide transport system permease protein OppC
MAMBLCDF_04217	CDS	978	gsiC_6		COG0601	Glutathione transport system permease protein GsiC
MAMBLCDF_04218	CDS	1512	gsiB_8		COG0747	Glutathione-binding protein GsiB
MAMBLCDF_04219	CDS	1056				hypothetical protein
MAMBLCDF_04220	CDS	1515	argH_3	4.3.2.1		Argininosuccinate lyase
MAMBLCDF_04221	CDS	1464				hypothetical protein
MAMBLCDF_04222	CDS	234				hypothetical protein
MAMBLCDF_04223	CDS	1263	dapE_3	3.5.1.18		Succinyl-diaminopimelate desuccinylase
MAMBLCDF_04224	CDS	1347	fadR_3			Fatty acid metabolism regulator protein
MAMBLCDF_04225	CDS	1449		3.5.4.32	COG0402	8-oxoguanine deaminase
MAMBLCDF_04226	CDS	1203	potA_7	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
MAMBLCDF_04227	CDS	1152	spuD		COG0687	Putrescine-binding periplasmic protein SpuD
MAMBLCDF_04228	CDS	837	ydcV_2			Inner membrane ABC transporter permease protein YdcV
MAMBLCDF_04229	CDS	861	potH_2		COG1176	Putrescine transport system permease protein PotH
MAMBLCDF_04230	CDS	2499	cutL_2	1.2.5.3		Carbon monoxide dehydrogenase large chain
MAMBLCDF_04231	CDS	1236	dapE_4	3.5.1.18		Succinyl-diaminopimelate desuccinylase
MAMBLCDF_04232	CDS	2202	paoC	1.2.99.6	COG1529	Aldehyde oxidoreductase molybdenum-binding subunit PaoC
MAMBLCDF_04233	CDS	1011	paoB	1.2.99.6	COG1319	Aldehyde oxidoreductase FAD-binding subunit PaoB
MAMBLCDF_04234	CDS	486	paoA	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
MAMBLCDF_04235	CDS	252				hypothetical protein
MAMBLCDF_04236	CDS	966	oppF_3		COG4608	Oligopeptide transport ATP-binding protein OppF
MAMBLCDF_04237	CDS	990	oppD_6		COG0444	Oligopeptide transport ATP-binding protein OppD
MAMBLCDF_04238	CDS	846	dppC_1		COG1173	Dipeptide transport system permease protein DppC
MAMBLCDF_04239	CDS	999	dppB_7		COG0601	Dipeptide transport system permease protein DppB
MAMBLCDF_04240	CDS	1617	dppA_1		COG0747	Periplasmic dipeptide transport protein
MAMBLCDF_04241	CDS	591	puuR			HTH-type transcriptional regulator PuuR
MAMBLCDF_04242	CDS	996				hypothetical protein
MAMBLCDF_04243	CDS	555				hypothetical protein
MAMBLCDF_04244	CDS	831	nosY		COG1277	putative ABC transporter permease protein NosY
MAMBLCDF_04245	CDS	921	nosF		COG1131	putative ABC transporter ATP-binding protein NosF
MAMBLCDF_04246	CDS	1395	nosD			putative ABC transporter binding protein NosD
MAMBLCDF_04247	CDS	1953	nosZ_1	1.7.2.4		Nitrous-oxide reductase
MAMBLCDF_04248	CDS	2373				hypothetical protein
MAMBLCDF_04249	CDS	861				hypothetical protein
MAMBLCDF_04250	CDS	1020	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
MAMBLCDF_04251	CDS	162				hypothetical protein
MAMBLCDF_04252	CDS	1206				hypothetical protein
MAMBLCDF_04253	CDS	1503	tgnC_1	1.2.1.-	COG1012	(Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase
MAMBLCDF_04254	CDS	678				hypothetical protein
MAMBLCDF_04255	CDS	2187				hypothetical protein
MAMBLCDF_04256	CDS	999				hypothetical protein
MAMBLCDF_04257	CDS	1143				hypothetical protein
MAMBLCDF_04258	CDS	1293				hypothetical protein
MAMBLCDF_04259	CDS	726	prmC_2	2.1.1.297		Release factor glutamine methyltransferase
MAMBLCDF_04260	CDS	1116				hypothetical protein
MAMBLCDF_04261	CDS	1008	nadE_3	6.3.1.5		NH(3)-dependent NAD(+) synthetase
MAMBLCDF_04262	CDS	1548	lcfB_3	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MAMBLCDF_04263	CDS	267				hypothetical protein
MAMBLCDF_04264	CDS	1938	asnB_3	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
MAMBLCDF_04265	CDS	1503				hypothetical protein
MAMBLCDF_04266	CDS	1335				hypothetical protein
MAMBLCDF_04267	CDS	771				hypothetical protein
MAMBLCDF_04268	CDS	1242	mshA_11	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
MAMBLCDF_04269	CDS	1179	glgM	2.4.1.342	COG0438	Alpha-maltose-1-phosphate synthase
MAMBLCDF_04270	CDS	369				hypothetical protein
MAMBLCDF_04271	CDS	198				hypothetical protein
MAMBLCDF_04272	CDS	1623	groL5_2			60 kDa chaperonin 5
MAMBLCDF_04273	CDS	357				hypothetical protein
MAMBLCDF_04274	CDS	723	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
MAMBLCDF_04275	CDS	723				hypothetical protein
MAMBLCDF_04276	CDS	1761	coxN	1.9.3.1	COG0843	Alternative cytochrome c oxidase subunit 1
MAMBLCDF_04277	CDS	816	coxM	1.9.3.1	COG1622	Alternative cytochrome c oxidase subunit 2
MAMBLCDF_04278	CDS	867	garR_2	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
MAMBLCDF_04279	CDS	903	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
MAMBLCDF_04280	CDS	1110				hypothetical protein
MAMBLCDF_04281	CDS	792	glnQ_7			Glutamine transport ATP-binding protein GlnQ
MAMBLCDF_04282	CDS	408	groL2		COG0459	60 kDa chaperonin 2
MAMBLCDF_04283	CDS	210				hypothetical protein
MAMBLCDF_04284	CDS	534				hypothetical protein
MAMBLCDF_04285	CDS	255				hypothetical protein
MAMBLCDF_04286	CDS	375				hypothetical protein
MAMBLCDF_04287	CDS	324				hypothetical protein
MAMBLCDF_04288	CDS	762				hypothetical protein
MAMBLCDF_04289	CDS	423				hypothetical protein
MAMBLCDF_04290	CDS	660				hypothetical protein
MAMBLCDF_04291	CDS	306				hypothetical protein
MAMBLCDF_04292	CDS	270				hypothetical protein
MAMBLCDF_04293	CDS	528				hypothetical protein
MAMBLCDF_04294	CDS	180				hypothetical protein
MAMBLCDF_04295	CDS	168				hypothetical protein
MAMBLCDF_04296	CDS	273				hypothetical protein
MAMBLCDF_04297	CDS	186				hypothetical protein
MAMBLCDF_04298	CDS	972				hypothetical protein
MAMBLCDF_04299	CDS	240				hypothetical protein
MAMBLCDF_04300	CDS	882				hypothetical protein
MAMBLCDF_04301	CDS	2163				hypothetical protein
MAMBLCDF_04302	CDS	162				hypothetical protein
MAMBLCDF_04303	CDS	327				hypothetical protein
MAMBLCDF_04304	CDS	642	pcm_2	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
MAMBLCDF_04305	CDS	1455	bepC			Outer membrane efflux protein BepC
MAMBLCDF_04306	CDS	606				hypothetical protein
MAMBLCDF_04307	CDS	237				hypothetical protein
MAMBLCDF_04308	CDS	486				hypothetical protein
MAMBLCDF_04309	CDS	480	dps	1.16.-.-	COG0783	DNA protection during starvation protein
MAMBLCDF_04310	CDS	2829	valS_1	6.1.1.9	COG0525	Valine--tRNA ligase
MAMBLCDF_04311	CDS	582				hypothetical protein
MAMBLCDF_04312	CDS	609				hypothetical protein
MAMBLCDF_04313	CDS	1281				hypothetical protein
MAMBLCDF_04314	CDS	831	glpE_3	2.8.1.1		Thiosulfate sulfurtransferase GlpE
MAMBLCDF_04315	CDS	1395	srpC		COG2059	putative chromate transport protein
MAMBLCDF_04316	CDS	633				hypothetical protein
MAMBLCDF_04317	CDS	312				hypothetical protein
MAMBLCDF_04318	CDS	1191	xlnD	1.14.13.24		3-hydroxybenzoate 6-hydroxylase 1
MAMBLCDF_04319	CDS	252				hypothetical protein
MAMBLCDF_04320	CDS	999				hypothetical protein
MAMBLCDF_04321	CDS	927	menH_3	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
MAMBLCDF_04322	CDS	849	cysE_2	2.3.1.30	COG1045	Serine acetyltransferase
MAMBLCDF_04323	CDS	882	gcvA_9			Glycine cleavage system transcriptional activator
MAMBLCDF_04324	CDS	1326	glyA_3	2.1.2.1	COG0112	Serine hydroxymethyltransferase
MAMBLCDF_04325	CDS	435	aroQ_3	4.2.1.10	COG0757	3-dehydroquinate dehydratase
MAMBLCDF_04326	CDS	1293	siaM_3		COG1593	Sialic acid TRAP transporter large permease protein SiaM
MAMBLCDF_04327	CDS	519				hypothetical protein
MAMBLCDF_04328	CDS	990				hypothetical protein
MAMBLCDF_04329	CDS	672	glaR_2		COG1802	HTH-type transcriptional repressor GlaR
MAMBLCDF_04330	CDS	1374	dap_2	3.4.11.19		D-aminopeptidase
MAMBLCDF_04331	CDS	549				hypothetical protein
MAMBLCDF_04332	CDS	726				hypothetical protein
MAMBLCDF_04333	CDS	420				hypothetical protein
MAMBLCDF_04334	CDS	531	yrdA		COG0663	Protein YrdA
MAMBLCDF_04335	CDS	633				hypothetical protein
MAMBLCDF_04336	CDS	615				hypothetical protein
MAMBLCDF_04337	CDS	573				hypothetical protein
MAMBLCDF_04338	CDS	822				hypothetical protein
MAMBLCDF_04339	CDS	432	hrp1_1		COG0517	Hypoxic response protein 1
MAMBLCDF_04340	CDS	1020			COG1752	putative NTE family protein
MAMBLCDF_04341	CDS	405	hisI_1	3.5.4.19		Phosphoribosyl-AMP cyclohydrolase
MAMBLCDF_04342	CDS	642	folE_2	3.5.4.16	COG0302	GTP cyclohydrolase 1
MAMBLCDF_04343	CDS	450				hypothetical protein
MAMBLCDF_04344	CDS	732	phoC	3.1.3.2		Major phosphate-irrepressible acid phosphatase
MAMBLCDF_04345	CDS	327	yidD			Putative membrane protein insertion efficiency factor
MAMBLCDF_04346	CDS	855				hypothetical protein
MAMBLCDF_04347	CDS	240				hypothetical protein
MAMBLCDF_04348	CDS	1998	thrS_1	6.1.1.3	COG0441	Threonine--tRNA ligase
MAMBLCDF_04349	CDS	1287				hypothetical protein
MAMBLCDF_04350	CDS	624				hypothetical protein
MAMBLCDF_04351	CDS	1242				hypothetical protein
MAMBLCDF_04352	CDS	735				hypothetical protein
MAMBLCDF_04353	CDS	1032				hypothetical protein
MAMBLCDF_04354	CDS	570	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
MAMBLCDF_04355	CDS	606				hypothetical protein
MAMBLCDF_04356	CDS	186				hypothetical protein
MAMBLCDF_04357	CDS	909	hdfR_3			HTH-type transcriptional regulator HdfR
MAMBLCDF_04358	CDS	1569	mdtD_2			Putative multidrug resistance protein MdtD
MAMBLCDF_04359	CDS	876	mcl2_3	3.1.2.30	COG2301	(3S)-malyl-CoA thioesterase
MAMBLCDF_04360	CDS	495	mch_2	4.2.1.148	COG2030	Beta-methylmalyl-CoA dehydratase
MAMBLCDF_04361	CDS	1134				hypothetical protein
MAMBLCDF_04362	CDS	1215				hypothetical protein
MAMBLCDF_04363	CDS	774	nadK_2	2.7.1.23	COG0061	NAD kinase
MAMBLCDF_04364	CDS	987				hypothetical protein
MAMBLCDF_04365	CDS	414				hypothetical protein
MAMBLCDF_04366	CDS	213				hypothetical protein
MAMBLCDF_04367	CDS	420				hypothetical protein
MAMBLCDF_04368	tRNA	75				tRNA-Thr(tgt)
MAMBLCDF_04369	CDS	858				hypothetical protein
MAMBLCDF_04370	CDS	891				hypothetical protein
MAMBLCDF_04371	CDS	1668	nanT			Sialic acid transporter NanT
MAMBLCDF_04372	CDS	495				hypothetical protein
MAMBLCDF_04373	CDS	801	rlmB_1	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
MAMBLCDF_04374	CDS	555				hypothetical protein
MAMBLCDF_04375	CDS	579				hypothetical protein
MAMBLCDF_04376	tRNA	85				tRNA-Tyr(gta)
MAMBLCDF_04377	tRNA	74				tRNA-Gly(tcc)
MAMBLCDF_04378	CDS	324				hypothetical protein
MAMBLCDF_04379	CDS	1191	tufA_1		COG0050	Elongation factor Tu
MAMBLCDF_04380	CDS	900	dapA_6	4.3.3.7		4-hydroxy-tetrahydrodipicolinate synthase
MAMBLCDF_04381	tRNA	76				tRNA-Trp(cca)
MAMBLCDF_04382	CDS	90				hypothetical protein
MAMBLCDF_04383	CDS	195	secE			Protein translocase subunit SecE
MAMBLCDF_04384	CDS	534	nusG		COG0250	Transcription termination/antitermination protein NusG
MAMBLCDF_04385	CDS	432	rplK		COG0080	50S ribosomal protein L11
MAMBLCDF_04386	CDS	699	rplA_1		COG0081	50S ribosomal protein L1
MAMBLCDF_04387	CDS	516	rplJ		COG0244	50S ribosomal protein L10
MAMBLCDF_04388	CDS	378	rplL_1		COG0222	50S ribosomal protein L7/L12
MAMBLCDF_04389	CDS	4122	rpoB_1	2.7.7.6		DNA-directed RNA polymerase subunit beta
MAMBLCDF_04390	CDS	4176	rpoC_1	2.7.7.6		DNA-directed RNA polymerase subunit beta'
MAMBLCDF_04391	CDS	1098				hypothetical protein
MAMBLCDF_04392	CDS	273				hypothetical protein
MAMBLCDF_04393	CDS	372	rpsL		COG0048	30S ribosomal protein S12
MAMBLCDF_04394	CDS	471	rpsG		COG0049	30S ribosomal protein S7
MAMBLCDF_04395	CDS	2076	fusA_2		COG0480	Elongation factor G
MAMBLCDF_04396	CDS	1191	tufA_2		COG0050	Elongation factor Tu
MAMBLCDF_04397	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
MAMBLCDF_04398	CDS	726	rplC_1		COG0087	50S ribosomal protein L3
MAMBLCDF_04399	CDS	621	rplD_1		COG0088	50S ribosomal protein L4
MAMBLCDF_04400	CDS	309	rplW		COG0089	50S ribosomal protein L23
MAMBLCDF_04401	CDS	843	rplB_1		COG0090	50S ribosomal protein L2
MAMBLCDF_04402	CDS	279	rpsS		COG0185	30S ribosomal protein S19
MAMBLCDF_04403	CDS	384	rplV		COG0091	50S ribosomal protein L22
MAMBLCDF_04404	CDS	717	rpsC_1		COG0092	30S ribosomal protein S3
MAMBLCDF_04405	CDS	414	rplP_1		COG0197	50S ribosomal protein L16
MAMBLCDF_04406	CDS	213	rpmC		COG0255	50S ribosomal protein L29
MAMBLCDF_04407	CDS	243	rpsQ_1		COG0186	30S ribosomal protein S17
MAMBLCDF_04408	CDS	369	rplN		COG0093	50S ribosomal protein L14
MAMBLCDF_04409	CDS	318	rplX		COG0198	50S ribosomal protein L24
MAMBLCDF_04410	CDS	567	rplE_1		COG0094	50S ribosomal protein L5
MAMBLCDF_04411	CDS	306	rpsN		COG0199	30S ribosomal protein S14
MAMBLCDF_04412	CDS	399	rpsH		COG0096	30S ribosomal protein S8
MAMBLCDF_04413	CDS	534	rplF_1		COG0097	50S ribosomal protein L6
MAMBLCDF_04414	CDS	363	rplR		COG0256	50S ribosomal protein L18
MAMBLCDF_04415	CDS	765	ssuC_6		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
MAMBLCDF_04416	CDS	738	ssuB_5	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
MAMBLCDF_04417	CDS	972				hypothetical protein
MAMBLCDF_04418	CDS	1005	fgd_3	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
MAMBLCDF_04419	CDS	1266	fabF_2	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
MAMBLCDF_04420	CDS	516			COG1733	putative HTH-type transcriptional regulator
MAMBLCDF_04421	CDS	1140	ybhS_1		COG0842	putative multidrug ABC transporter permease YbhS
MAMBLCDF_04422	CDS	933	btuD_15	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MAMBLCDF_04423	CDS	957	aaeA_2			p-hydroxybenzoic acid efflux pump subunit AaeA
MAMBLCDF_04424	CDS	672	cecR		COG1309	HTH-type transcriptional dual regulator CecR
MAMBLCDF_04425	CDS	864	motA_1		COG1291	Motility protein A
MAMBLCDF_04426	CDS	873	motB_1		COG1360	Motility protein B
MAMBLCDF_04427	CDS	708	rspR_5		COG1802	HTH-type transcriptional repressor RspR
MAMBLCDF_04428	CDS	975				hypothetical protein
MAMBLCDF_04429	CDS	1077	ttuC'	1.1.1.93		putative tartrate dehydrogenase/decarboxylase TtuC'
MAMBLCDF_04430	CDS	1374	patA_1	2.3.1.-	COG1696	Peptidoglycan O-acetyltransferase
MAMBLCDF_04431	CDS	1005				hypothetical protein
MAMBLCDF_04432	CDS	423	dksA_1		COG1734	RNA polymerase-binding transcription factor DksA
MAMBLCDF_04433	CDS	753	flgH_2			Flagellar L-ring protein
MAMBLCDF_04434	CDS	1047				hypothetical protein
MAMBLCDF_04435	CDS	789	flgG_2		COG4786	Flagellar basal-body rod protein FlgG
MAMBLCDF_04436	CDS	744	flgF_2		COG4787	Flagellar basal-body rod protein FlgF
MAMBLCDF_04437	CDS	513				hypothetical protein
MAMBLCDF_04438	CDS	1134	fliM_1		COG1868	Flagellar motor switch protein FliM
MAMBLCDF_04439	CDS	450				hypothetical protein
MAMBLCDF_04440	CDS	822				hypothetical protein
MAMBLCDF_04441	CDS	966				hypothetical protein
MAMBLCDF_04442	CDS	762	cnbZ	3.5.99.11		2-amino-5-chloromuconate deaminase
MAMBLCDF_04443	CDS	921	cmpR_2			HTH-type transcriptional activator CmpR
MAMBLCDF_04444	CDS	450	relA			Bifunctional (p)ppGpp synthase/hydrolase RelA
MAMBLCDF_04445	CDS	3426				hypothetical protein
MAMBLCDF_04446	CDS	786	fliP_1		COG1338	Flagellar biosynthetic protein FliP
MAMBLCDF_04447	CDS	1521				hypothetical protein
MAMBLCDF_04448	CDS	384				hypothetical protein
MAMBLCDF_04449	CDS	411	flgC_2		COG1558	Flagellar basal-body rod protein FlgC
MAMBLCDF_04450	CDS	327	fliE_1			Flagellar hook-basal body complex protein FliE
MAMBLCDF_04451	CDS	267				hypothetical protein
MAMBLCDF_04452	CDS	759	fliR_1		COG1684	Flagellar biosynthetic protein FliR
MAMBLCDF_04453	CDS	1068	flhB_2		COG1377	Flagellar biosynthetic protein FlhB
MAMBLCDF_04454	CDS	2505	cckA			Sensor kinase CckA
MAMBLCDF_04455	CDS	1326				hypothetical protein
MAMBLCDF_04456	CDS	1068	iolG_4	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
MAMBLCDF_04457	CDS	1143	iolG_5	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
MAMBLCDF_04458	CDS	420				hypothetical protein
MAMBLCDF_04459	CDS	822	crt_3	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
MAMBLCDF_04460	CDS	588				hypothetical protein
MAMBLCDF_04461	CDS	498				hypothetical protein
MAMBLCDF_04462	CDS	534				hypothetical protein
MAMBLCDF_04463	CDS	222				hypothetical protein
MAMBLCDF_04464	CDS	1086	recA_1			Protein RecA
MAMBLCDF_04465	CDS	2643	alaS_2	6.1.1.7	COG0013	Alanine--tRNA ligase
MAMBLCDF_04466	CDS	1152				hypothetical protein
MAMBLCDF_04467	CDS	630				hypothetical protein
MAMBLCDF_04468	CDS	159				hypothetical protein
MAMBLCDF_04469	CDS	204				hypothetical protein
MAMBLCDF_04470	CDS	462				hypothetical protein
MAMBLCDF_04471	CDS	900	pgrR_7			HTH-type transcriptional regulator PgrR
MAMBLCDF_04472	CDS	960	ycjY_3		COG1073	putative protein YcjY
MAMBLCDF_04473	CDS	1215	icd_2	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
MAMBLCDF_04474	CDS	819				hypothetical protein
MAMBLCDF_04475	CDS	717	kduD_3	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
MAMBLCDF_04476	CDS	546				hypothetical protein
MAMBLCDF_04477	CDS	915	thrB_2	2.7.1.39		Homoserine kinase
MAMBLCDF_04478	CDS	408	fliX			Flagellar assembly protein FliX
MAMBLCDF_04479	CDS	1233	flgI_2			Flagellar P-ring protein
MAMBLCDF_04480	CDS	387				hypothetical protein
MAMBLCDF_04481	CDS	489				hypothetical protein
MAMBLCDF_04482	CDS	474				hypothetical protein
MAMBLCDF_04483	CDS	1326				hypothetical protein
MAMBLCDF_04484	CDS	1335				hypothetical protein
MAMBLCDF_04485	CDS	393	flbT			flagellum biosynthesis repressor protein FlbT
MAMBLCDF_04486	CDS	372				hypothetical protein
MAMBLCDF_04487	CDS	1518				hypothetical protein
MAMBLCDF_04488	CDS	1863				hypothetical protein
MAMBLCDF_04489	CDS	1413	flgE_2		COG1749	Flagellar hook protein FlgE
MAMBLCDF_04490	CDS	1008				hypothetical protein
MAMBLCDF_04491	CDS	1449	ycjX		COG3106	putative protein YcjX
MAMBLCDF_04492	CDS	537		3.1.3.-	COG2062	putative protein
MAMBLCDF_04493	CDS	687	betI_7			HTH-type transcriptional regulator BetI
MAMBLCDF_04494	CDS	1260				hypothetical protein
MAMBLCDF_04495	CDS	246				hypothetical protein
MAMBLCDF_04496	CDS	567				hypothetical protein
MAMBLCDF_04497	CDS	633				hypothetical protein
MAMBLCDF_04498	CDS	846				hypothetical protein
MAMBLCDF_04499	CDS	1788	kefC_2		COG0475	Glutathione-regulated potassium-efflux system protein KefC
MAMBLCDF_04500	CDS	1089	mgtA_1	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
MAMBLCDF_04501	CDS	834	lpxH	3.6.1.54		UDP-2,3-diacylglucosamine hydrolase
MAMBLCDF_04502	CDS	780	fabG_10	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MAMBLCDF_04503	CDS	453				hypothetical protein
MAMBLCDF_04504	CDS	930	cntI_3			Pseudopaline exporter CntI
MAMBLCDF_04505	CDS	621	sutR		COG1396	HTH-type transcriptional regulator SutR
MAMBLCDF_04506	CDS	939	nicB_2	1.17.2.1	COG1529	Nicotinate dehydrogenase subunit B
MAMBLCDF_04507	CDS	435	cycA_1		COG3909	Cytochrome c'
MAMBLCDF_04508	CDS	2310	cutL_3	1.2.5.3		Carbon monoxide dehydrogenase large chain
MAMBLCDF_04509	CDS	966				hypothetical protein
MAMBLCDF_04510	CDS	315		2.8.1.-	COG0607	Sulfurtransferase
MAMBLCDF_04511	CDS	1320	dctM_9		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
MAMBLCDF_04512	CDS	504				hypothetical protein
MAMBLCDF_04513	tRNA	89				tRNA-Cys(gca)
MAMBLCDF_04514	CDS	444	kbp		COG1652	Potassium binding protein Kbp
MAMBLCDF_04515	CDS	435				hypothetical protein
MAMBLCDF_04516	CDS	1083		1.18.1.2	COG0492	Ferredoxin--NADP reductase
MAMBLCDF_04517	CDS	486				IS66 family transposase ISPpu30
MAMBLCDF_04518	CDS	2439				hypothetical protein
MAMBLCDF_04519	CDS	1251				hypothetical protein
MAMBLCDF_04520	CDS	354	pucM	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
MAMBLCDF_04521	CDS	1425				hypothetical protein
MAMBLCDF_04522	CDS	981	deoR_2		COG2390	Deoxyribonucleoside regulator
MAMBLCDF_04523	CDS	117				hypothetical protein
MAMBLCDF_04524	CDS	945	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
MAMBLCDF_04525	CDS	1527				hypothetical protein
MAMBLCDF_04526	CDS	3642				hypothetical protein
MAMBLCDF_04527	CDS	792		4.2.1.-	COG4336	Putative hydro-lyase
MAMBLCDF_04528	CDS	1356	cnbH_4	3.5.99.5		2-amino-5-chloromuconic acid deaminase
MAMBLCDF_04529	CDS	687				hypothetical protein
MAMBLCDF_04530	CDS	1284	dctM_10		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
MAMBLCDF_04531	CDS	621				hypothetical protein
MAMBLCDF_04532	CDS	1041				hypothetical protein
MAMBLCDF_04533	CDS	1197				hypothetical protein
MAMBLCDF_04534	CDS	909	hdfR_4			HTH-type transcriptional regulator HdfR
MAMBLCDF_04535	CDS	1398	galP			Galactose-proton symporter
MAMBLCDF_04536	CDS	1338	kdnA	2.6.1.109	COG0399	8-amino-3,8-dideoxy-alpha-D-manno-octulosonate transaminase
MAMBLCDF_04537	CDS	1377	csbC			putative metabolite transport protein CsbC
MAMBLCDF_04538	CDS	369				hypothetical protein
MAMBLCDF_04539	CDS	1629	livQ	1.1.3.-		6'''-hydroxyparomomycin C oxidase
MAMBLCDF_04540	CDS	1185				hypothetical protein
MAMBLCDF_04541	CDS	1044				hypothetical protein
MAMBLCDF_04542	CDS	1044				hypothetical protein
MAMBLCDF_04543	CDS	714	napC			Cytochrome c-type protein NapC
MAMBLCDF_04544	CDS	471	napB			Periplasmic nitrate reductase, electron transfer subunit
MAMBLCDF_04545	CDS	2502	napA_1	1.9.6.1		Periplasmic nitrate reductase
MAMBLCDF_04546	CDS	279	napD			Chaperone NapD
MAMBLCDF_04547	CDS	510	napF		COG1145	Ferredoxin-type protein NapF
MAMBLCDF_04548	CDS	180				hypothetical protein
MAMBLCDF_04549	CDS	342				hypothetical protein
MAMBLCDF_04550	CDS	1005	mtnK	2.7.1.100		Methylthioribose kinase
MAMBLCDF_04551	CDS	1440	eno_1	4.2.1.11	COG0148	Enolase
MAMBLCDF_04552	CDS	954		1.17.1.9		Formate dehydrogenase, mitochondrial
MAMBLCDF_04553	CDS	1002	rbsR		COG1609	Ribose operon repressor
MAMBLCDF_04554	CDS	1275	siaM_4		COG1593	Sialic acid TRAP transporter large permease protein SiaM
MAMBLCDF_04555	CDS	570				hypothetical protein
MAMBLCDF_04556	CDS	1005			COG1638	Solute-binding protein
MAMBLCDF_04557	CDS	705	rspR_6		COG1802	HTH-type transcriptional repressor RspR
MAMBLCDF_04558	CDS	882	Hgd_2	1.1.1.291		2-(hydroxymethyl)glutarate dehydrogenase
MAMBLCDF_04559	CDS	1524	dap_3	3.4.11.19		D-aminopeptidase
MAMBLCDF_04560	CDS	1581	appA_2			Oligopeptide-binding protein AppA
MAMBLCDF_04561	CDS	210				hypothetical protein
MAMBLCDF_04562	CDS	384				hypothetical protein
MAMBLCDF_04563	CDS	1122	anmK_2	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
MAMBLCDF_04564	CDS	579	rmlC_1	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
MAMBLCDF_04565	CDS	1056	rffG_2	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
MAMBLCDF_04566	CDS	2226	dsbD_2	1.8.1.8		Thiol:disulfide interchange protein DsbD
MAMBLCDF_04567	CDS	639	resA_3			Thiol-disulfide oxidoreductase ResA
MAMBLCDF_04568	CDS	1557	ubiB_2	2.7.-.-	COG0661	putative protein kinase UbiB
MAMBLCDF_04569	CDS	762	ubiE_1	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
MAMBLCDF_04570	CDS	891	mutM_1	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
MAMBLCDF_04571	CDS	564				hypothetical protein
MAMBLCDF_04572	CDS	774	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
